,Spacecraft,Start,Stop,Created
000202R_SK_LP0_V1P32.bsp,CASSINI,1997-10-15 09:26:08.000,1998-05-28 21:22:00.000,1998-08-02 09:05:27.000
000202R_SK_V1P32_V2P12.bsp,CASSINI,1998-05-28 21:22:00.000,1999-07-06 16:00:00.000,1999-10-08 16:18:02.000
000202R_SK_V2P12_EP15.bsp,CASSINI,1999-07-06 16:00:00.000,1999-09-02 12:00:00.000,1999-09-24 11:21:08.000
000203_SE_JUP156.bsp,CASSINI,1999-12-29 23:58:56.000,2002-01-03 23:58:56.000,2000-02-03 10:55:15.000
000331RB_SK_V1P32_V2P12.bsp,CASSINI,1998-05-28 21:21:59.000,1999-07-06 16:00:00.000,2005-02-23 10:02:18.000
000331R_SK_LP0_V1P32.bsp,CASSINI,1997-10-15 09:26:08.000,1998-05-28 21:22:00.000,1998-08-02 09:05:27.000
000331R_SK_V1P32_V2P12.bsp,CASSINI,1998-05-28 21:22:00.000,1999-07-06 16:00:00.000,1999-10-08 16:18:02.000
000331R_SK_V2P12_EP15.bsp,CASSINI,1999-07-06 16:00:00.000,1999-09-02 12:00:00.000,1999-09-24 11:21:08.000
000331_SK_JM229_SP0.bsp,CASSINI,2000-05-15 00:00:00.000,2004-07-01 12:00:00.000,2000-03-30 14:32:14.000
000609A_SK_JM207_JP0.bsp,CASSINI,2000-06-05 23:58:56.000,2000-12-30 10:58:56.000,2000-06-08 11:44:34.000
000713_SE_JUP171.bsp,CASSINI,2000-01-01 23:58:56.000,2002-01-02 23:58:56.000,2000-07-13 08:22:17.000
000728_SK_SOI_T45.bsp,CASSINI,2004-07-01 00:00:00.000,2008-08-01 00:00:00.000,2000-07-21 10:27:25.000
001102_SE_SAT105.bsp,CASSINI,2004-01-02 00:00:00.000,2013-01-08 00:00:00.000,2000-11-02 14:15:00.000
010222A_SK_JP054_JP458.bsp,CASSINI,2001-02-21 23:58:56.000,2002-04-02 11:58:56.000,2001-02-22 15:14:02.000
010419_SE_SAT077.bsp,CASSINI,1966-10-17 23:59:19.000,2013-01-07 23:58:56.000,2001-04-19 09:41:36.000
010420R_SCPSE_EP1_JP83.bsp,CASSINI,1999-08-19 01:58:56.000,2001-03-23 23:58:56.000,2001-04-20 11:46:29.000
010423_SK_JP67_SP0.bsp,CASSINI,2001-03-07 11:58:56.000,2004-07-01 11:58:56.000,2001-04-30 10:36:17.000
010823A_OPK_SM33D_SP290D.bsp,CASSINI_SIM,2004-08-23 11:58:56.000,2005-04-16 20:58:56.000,2001-08-27 13:47:00.000
020204_SE_JUP199.LONG.bsp,CASSINI,1973-11-05 23:59:16.000,2016-12-17 23:58:56.000,2002-02-04 09:02:10.000
020205_PE_2002_2005.bsp,CASSINI,2002-01-01 00:00:00.000,2005-01-01 00:00:00.000,2002-02-05 14:51:16.000
020312_SK_TEST.bsp,CASSINI,2001-03-07 11:58:56.000,2004-07-01 11:58:56.000,2002-03-12 12:53:50.000
020329A_SK_SM824_SM794.bsp,CASSINI,2002-03-29 23:58:56.000,2002-04-28 23:58:56.000,2002-03-29 13:23:45.000
020425A_SK_SM812_SOI.bsp,CASSINI,2002-04-10 23:58:56.000,2004-07-01 01:09:57.000,2002-04-26 10:20:42.000
020425A_SK_SM812_T45.bsp,CASSINI,2002-04-10 23:58:56.000,2008-08-08 23:58:56.000,2002-04-25 16:18:33.000
020425B_SK_SM812_T45.bsp,CASSINI,2002-04-10 23:58:56.000,2008-08-08 23:58:56.000,2002-05-10 17:20:38.000
020514_SE_SAT105.bsp,CASSINI,2002-01-11 23:58:56.000,2013-01-07 23:58:56.000,2002-05-14 15:22:36.000
020731A_SK_SM947_SM907.bsp,CASSINI,2001-11-26 03:59:56.000,2002-01-05 23:58:56.000,2002-07-31 15:45:10.000
030201AP_OPK_SM546_T45.bsp,CASSINI,2003-01-01 11:58:56.000,2008-08-08 23:58:56.000,2003-01-27 16:57:58.000
030201AP_SK_SM546_T45.bsp,CASSINI,2003-01-01 11:58:56.000,2008-08-08 23:58:56.000,2003-01-27 16:56:49.000
030429AP_SCPSE_SM428_SM294.bsp,CASSINI,2003-04-29 11:58:56.000,2003-09-10 11:58:56.000,2003-04-29 17:20:44.000
030429AP_SK_SM428D_SM294D.bsp,CASSINI,2003-04-29 11:58:56.000,2003-09-10 11:58:56.000,2003-04-29 17:43:22.000
030904_PE_DE410.bsp,CASSINI,1996-12-30 23:58:58.000,2016-01-04 23:58:56.000,2003-09-04 13:12:36.000
030909AP_SK_03244_03276.bsp,CASSINI,2003-08-31 23:58:56.000,2003-10-02 23:58:56.000,2003-09-09 15:34:22.000
030924AP_SK_03272_04148.bsp,CASSINI,2003-09-28 23:58:56.000,2004-05-26 23:58:56.000,2003-09-23 08:28:56.000
031105_SE_JUP204.bsp,CASSINI,2003-12-31 23:58:56.000,2007-12-31 23:58:56.000,2003-11-05 14:37:54.000
040225_OPK_TBM22_TCP1.bsp,CASSINI,2004-11-21 08:43:49.000,2005-01-15 11:04:56.000,2004-03-10 15:11:06.000
040225_PE_DE405.bsp,CASSINI,2004-06-11 23:58:56.000,2005-03-26 23:58:56.000,2004-03-10 14:50:31.000
040225_SE_SAT105.bsp,CASSINI,2004-06-29 23:58:56.000,2005-03-08 23:58:56.000,2004-03-10 14:51:03.000
040506AP_PE_94328_16357.bsp,CASSINI,1994-11-23 23:58:59.000,2016-12-21 23:58:56.000,2004-05-04 09:32:11.000
040506AP_SE_04002_09011.bsp,CASSINI,2004-01-01 23:58:56.000,2009-01-10 23:58:56.000,2004-05-04 09:32:07.000
040506BP_OPK_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-05-07 08:17:24.000
040506BP_SCPSE_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-05-07 08:17:32.000
040506BP_SK_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-05-07 08:17:17.000
040513AP_OPK_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-05-13 15:05:46.000
040513AP_SCPSE_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-05-13 15:05:58.000
040513AP_SK_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-05-13 15:05:33.000
040525AP_PE_04132_04196.bsp,CASSINI,2004-05-10 23:58:56.000,2004-07-13 23:58:56.000,2004-05-25 20:00:34.000
040525AP_SCPSE_04146_04166.bsp,CASSINI,2004-05-25 10:09:28.000,2004-07-01 12:00:00.000,2004-05-25 10:17:10.000
040525AP_SE_04146_04200.bsp,CASSINI,2004-05-24 23:58:56.000,2004-07-17 23:58:56.000,2004-05-25 20:00:15.000
040525AP_SK_04146_04166.bsp,CASSINI,2004-05-25 10:09:28.000,2004-07-01 12:00:00.000,2004-05-25 10:17:12.000
040606AP_PE_04134_04167.bsp,CASSINI,2004-05-10 23:58:56.000,2004-07-13 23:58:56.000,2004-06-06 16:50:06.000
040606AP_SCPSE_04134_04167.bsp,CASSINI,2004-05-06 23:58:56.000,2004-07-13 23:58:56.000,2004-06-06 16:50:19.000
040606AP_SE_04134_04167.bsp,CASSINI,2004-05-06 23:58:56.000,2004-06-29 23:58:56.000,2004-06-06 16:49:51.000
040606AP_SK_04134_04167.bsp,CASSINI,2004-05-12 23:58:56.000,2004-06-14 23:58:56.000,2004-06-06 16:49:38.000
040615AP_PE_04167_04186.bsp,CASSINI,2004-06-15 07:35:00.000,2004-07-01 12:00:00.000,2004-06-15 07:50:22.000
040615AP_SCPSE_04167_04186.bsp,CASSINI,2004-06-15 07:35:00.000,2004-07-01 12:00:00.000,2004-06-15 07:44:11.000
040615AP_SE_04167_04186.bsp,CASSINI,2004-06-15 07:35:00.000,2004-07-01 12:00:00.000,2004-06-15 07:50:22.000
040615AP_SK_04167_04186.bsp,CASSINI,2004-06-15 07:35:00.000,2004-07-01 12:00:00.000,2004-06-15 07:44:12.000
040622AP_OPK_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-06-21 13:07:35.000
040622AP_PE_04002_09011.bsp,CASSINI,2004-01-01 23:58:56.000,2009-01-10 23:58:56.000,2004-06-21 12:12:29.000
040622AP_SCPSE_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-06-21 13:07:46.000
040622AP_SE_04002_09011.bsp,CASSINI,2004-01-01 23:58:56.000,2009-01-10 23:58:56.000,2004-06-21 12:12:26.000
040622AP_SK_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-06-21 13:07:27.000
040622BP_SCPSE_04122_08222.bsp,CASSINI,2004-05-01 11:58:56.000,2008-08-08 23:58:56.000,2004-07-06 10:22:37.000
040629AP_PE_04179_04185.bsp,CASSINI,2004-06-11 23:58:56.000,2004-07-13 23:58:56.000,2004-06-29 18:29:28.000
040629AP_SCPSE_04179_04185.bsp,CASSINI,2004-06-11 23:58:56.000,2004-07-17 23:58:56.000,2004-06-29 18:30:55.000
040629AP_SE_04179_04185.bsp,CASSINI,2004-06-11 23:58:56.000,2004-07-17 23:58:56.000,2004-06-29 18:29:58.000
040629AP_SK_04179_04185.bsp,CASSINI,2004-06-26 23:58:56.000,2004-07-03 19:58:56.000,2004-06-29 18:30:42.000
040701AP_PE_04173_04236.bsp,CASSINI,2004-06-21 15:00:00.000,2004-08-23 12:00:00.000,2004-07-01 14:04:02.000
040701AP_RE_04001_09001.bsp,CASSINI-SUPER,2004-01-02 00:00:00.000,2009-01-02 00:00:00.000,2004-07-01 00:00:00.000
040701AP_SCPSE_04173_04236.bsp,CASSINI,2004-06-21 15:00:00.000,2004-08-23 12:00:00.000,2004-07-01 14:04:30.000
040701AP_SE_04173_04236.bsp,CASSINI,2004-06-21 15:00:00.000,2004-08-23 12:00:00.000,2004-07-01 14:03:37.000
040701AP_SK_04173_04236.bsp,CASSINI,2004-06-21 15:00:00.000,2004-08-23 12:00:00.000,2004-07-01 14:03:06.000
040817AP_PE_04230_04303.bsp,CASSINI,2004-08-17 18:06:18.000,2004-10-29 15:31:13.000,2004-08-17 18:20:50.000
040817AP_SCPSE_04230_04303.bsp,CASSINI,2004-08-17 18:06:18.000,2004-10-29 15:31:13.000,2004-08-17 18:12:37.000
040817AP_SE_04230_04303.bsp,CASSINI,2004-08-17 18:06:18.000,2004-10-29 15:31:13.000,2004-08-17 18:20:50.000
040817AP_SK_04230_04303.bsp,CASSINI,2004-08-17 18:06:18.000,2004-10-29 15:31:13.000,2004-08-17 18:12:40.000
040902AP_PE_04246_04303.bsp,CASSINI,2004-09-02 17:23:51.000,2004-10-29 15:31:13.000,2004-09-02 17:36:47.000
040902AP_SCPSE_04246_04303.bsp,CASSINI,2004-09-02 17:23:51.000,2004-10-29 15:31:13.000,2004-09-02 17:29:20.000
040902AP_SE_04246_04303.bsp,CASSINI,2004-09-02 17:23:51.000,2004-10-29 15:31:13.000,2004-09-02 17:36:47.000
040902AP_SK_04246_04303.bsp,CASSINI,2004-09-02 17:23:51.000,2004-10-29 15:31:13.000,2004-09-02 17:29:22.000
040909R_SCPSE_01066_04199.bsp,CASSINI,2001-03-07 11:58:56.000,2004-07-17 11:58:56.000,2004-09-09 13:46:20.000
041001AP_OPK_04275_08222.bsp,CASSINI,2004-10-01 11:58:56.000,2008-08-08 23:58:56.000,2004-10-04 11:53:29.000
041001AP_PE_04002_09011.bsp,CASSINI,2004-01-01 23:58:56.000,2009-01-10 23:58:56.000,2004-09-29 14:15:17.000
041001AP_SCPSE_04275_08222.bsp,CASSINI,2004-10-01 11:58:56.000,2008-08-08 23:58:56.000,2004-10-04 11:52:36.000
041001AP_SE_04002_09011.bsp,CASSINI,2004-01-01 23:58:56.000,2009-01-10 23:58:56.000,2004-09-29 14:15:13.000
041001AP_SK_04275_08222.bsp,CASSINI,2004-10-01 11:58:56.000,2008-08-08 23:58:56.000,2004-10-04 11:53:56.000
041014R_SCPSE_01066_04199.bsp,CASSINI,2001-03-07 11:58:56.000,2004-07-17 11:58:56.000,2004-10-14 14:09:52.000
041021AP_PE_04295_04303.bsp,CASSINI,2004-10-21 13:33:25.000,2004-10-29 15:31:13.000,2004-10-21 13:38:30.000
041021AP_SCPSE_04295_04303.bsp,CASSINI,2004-10-21 13:33:25.000,2004-10-29 15:31:13.000,2004-10-21 13:38:28.000
041021AP_SE_04295_04303.bsp,CASSINI,2004-10-21 13:33:25.000,2004-10-29 15:31:13.000,2004-10-21 13:38:30.000
041021AP_SK_04295_04303.bsp,CASSINI,2004-10-21 13:33:25.000,2004-10-29 15:31:13.000,2004-10-21 13:38:29.000
041028AP_PE_04302_04353.bsp,CASSINI,2004-10-28 08:36:42.000,2004-12-18 12:00:00.000,2004-10-28 08:43:31.000
041028AP_SCPSE_04302_04353.bsp,CASSINI,2004-10-28 08:36:42.000,2004-12-18 12:00:00.000,2004-10-28 08:43:24.000
041028AP_SE_04302_04353.bsp,CASSINI,2004-10-28 08:36:42.000,2004-12-18 12:00:00.000,2004-10-28 08:43:31.000
041028AP_SK_04302_04353.bsp,CASSINI,2004-10-28 08:36:42.000,2004-12-18 12:00:00.000,2004-10-28 08:43:26.000
041028BP_SCPSE_04302_04353.bsp,CASSINI,2004-10-28 08:36:42.000,2004-12-18 12:00:00.000,2004-10-28 08:43:27.000
041028BP_SK_04302_04353.bsp,CASSINI,2004-10-28 08:36:42.000,2004-12-18 12:00:00.000,2004-10-28 08:43:29.000
041118AP_PE_04323_04351.bsp,CASSINI,2004-11-18 15:32:11.000,2004-12-16 11:39:17.000,2004-11-18 15:37:37.000
041118AP_SCPSE_04323_04351.bsp,CASSINI,2004-11-18 15:32:11.000,2004-12-16 11:39:17.000,2004-11-18 15:37:33.000
041118AP_SE_04323_04351.bsp,CASSINI,2004-11-18 15:32:11.000,2004-12-16 11:39:17.000,2004-11-18 15:37:38.000
041118AP_SK_04323_04351.bsp,CASSINI,2004-11-18 15:32:11.000,2004-12-16 11:39:17.000,2004-11-18 15:37:34.000
041123AP_RE_04002_09011.bsp,CASSINI-SUPER,2004-01-03 00:00:00.000,2009-01-12 00:00:00.000,2004-11-23 00:00:00.000
041123BP_RE_04002_09011.bsp,CASSINI-SUPER,2004-01-03 00:00:00.000,2009-01-12 00:00:00.000,2004-11-23 00:00:00.000
041201BP_RE_04092_09011.bsp,CASSINI-SUPER,2004-04-02 00:00:00.000,2009-01-12 00:00:00.000,2004-12-01 00:00:00.000
041208AP_PE_04343_04352.bsp,CASSINI,2004-12-08 20:00:00.000,2004-12-17 06:00:00.000,2004-12-08 13:10:55.000
041208AP_SE_04343_04352.bsp,CASSINI,2004-12-08 20:00:00.000,2004-12-17 06:00:00.000,2004-12-08 13:10:55.000
041208BP_SCPSE_04343_04352.bsp,CASSINI,2004-12-08 20:00:00.000,2004-12-17 06:00:00.000,2004-12-08 13:10:53.000
041208BP_SK_04343_04352.bsp,CASSINI,2004-12-08 20:00:00.000,2004-12-17 06:00:00.000,2004-12-08 13:10:54.000
041210AP_OPK_04329_08189.bsp,CASSINI,2004-11-23 23:58:56.000,2008-07-07 17:07:00.000,2004-12-10 07:42:46.000
041210AP_PE_04324_08207.bsp,CASSINI,2004-11-18 23:58:56.000,2008-07-24 23:58:56.000,2004-12-09 13:14:36.000
041210AP_SCPSE_04329_08189.bsp,CASSINI,2004-11-23 23:58:56.000,2008-07-07 17:07:00.000,2004-12-10 07:42:51.000
041210AP_SE_04308_08197.bsp,CASSINI,2004-11-02 23:58:56.000,2008-07-14 23:58:56.000,2004-12-09 13:14:34.000
041210AP_SK_04329_08189.bsp,CASSINI,2004-11-23 23:58:56.000,2008-07-07 17:07:00.000,2004-12-10 07:42:42.000
041215AP_PE_04347_05015.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-15 09:00:00.000,2004-12-15 17:21:54.000
041215AP_SCPSE_04347_05015.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-15 09:00:00.000,2004-12-15 17:21:51.000
041215AP_SE_04347_05015.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-15 09:00:00.000,2004-12-15 17:21:55.000
041215AP_SK_04347_05015.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-15 09:00:00.000,2004-12-15 17:21:52.000
041216AP_PE_04347_05017.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-17 09:07:00.000,2004-12-16 17:17:10.000
041216AP_SCPSE_04347_05017.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-17 09:07:00.000,2004-12-16 17:15:51.000
041216AP_SE_04347_05017.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-17 09:07:00.000,2004-12-16 17:17:26.000
041216AP_SK_04347_05017.bsp,CASSINI,2004-12-12 11:30:00.000,2005-01-17 09:07:00.000,2004-12-16 17:16:25.000
041219R_SCPSE_04199_04247.bsp,CASSINI,2004-07-17 11:58:56.000,2004-09-03 11:58:56.000,2005-01-07 10:50:10.000
041221AP_PE_04356_05017.bsp,CASSINI,2004-12-21 15:39:21.000,2005-01-17 11:13:00.000,2004-12-21 15:41:51.000
041221AP_SCPSE_04356_05017.bsp,CASSINI,2004-12-21 15:39:21.000,2005-01-17 11:13:00.000,2004-12-21 15:41:48.000
041221AP_SE_04356_05017.bsp,CASSINI,2004-12-21 15:39:21.000,2005-01-17 11:13:00.000,2004-12-21 15:41:51.000
041221AP_SK_04356_05017.bsp,CASSINI,2004-12-21 15:39:21.000,2005-01-17 11:13:00.000,2004-12-21 15:41:48.000
041226AP_PE_04361_05017.bsp,CASSINI,2004-12-26 16:46:25.000,2005-01-17 11:13:00.000,2004-12-26 16:49:01.000
041226AP_SCPSE_04361_05017.bsp,CASSINI,2004-12-26 16:46:25.000,2005-01-17 11:13:00.000,2004-12-26 16:48:59.000
041226AP_SE_04361_05017.bsp,CASSINI,2004-12-26 16:46:25.000,2005-01-17 11:13:00.000,2004-12-26 16:49:01.000
050102AP_PE_05002_05017.bsp,CASSINI,2005-01-02 15:22:06.000,2005-01-17 11:13:00.000,2005-01-02 15:24:49.000
050102AP_SCPSE_05002_05017.bsp,CASSINI,2005-01-02 15:22:06.000,2005-01-17 11:13:00.000,2005-01-02 15:24:48.000
050102AP_SE_05002_05017.bsp,CASSINI,2005-01-02 15:22:06.000,2005-01-17 11:13:00.000,2005-01-02 15:24:49.000
050102AP_SK_05002_05017.bsp,CASSINI,2005-01-02 15:22:06.000,2005-01-17 11:13:00.000,2005-01-02 15:24:48.000
050105RB_SCPSE_04247_04336.bsp,CASSINI,2004-09-03 11:58:56.000,2004-12-01 11:58:56.000,2006-07-21 10:26:33.000
050105R_SCPSE_04247_04336.bsp,CASSINI,2004-09-03 11:58:56.000,2004-12-01 11:58:56.000,2005-01-10 14:44:29.000
050110AP_PE_05010_05049.bsp,CASSINI,2005-01-10 14:33:38.000,2005-02-18 06:58:57.000,2005-01-10 14:37:24.000
050110AP_SCPSE_05010_05049.bsp,CASSINI,2005-01-10 14:33:38.000,2005-02-18 06:58:57.000,2005-01-10 14:37:14.000
050110AP_SE_05010_05049.bsp,CASSINI,2005-01-10 14:33:38.000,2005-02-18 06:58:57.000,2005-01-10 14:37:24.000
050110AP_SK_05010_05049.bsp,CASSINI,2005-01-10 14:33:38.000,2005-02-18 06:58:57.000,2005-01-10 14:37:17.000
050120AP_RE_04002_09011.bsp,CASSINI-SUPER,2004-01-03 00:00:00.000,2009-01-12 00:00:00.000,2005-01-20 00:00:00.000
050125AP_PE_05025_05049.bsp,CASSINI,2005-01-25 14:17:36.000,2005-02-18 06:58:57.000,2005-01-25 14:21:48.000
050125AP_SCPSE_05025_05049.bsp,CASSINI,2005-01-25 14:17:36.000,2005-02-18 06:58:57.000,2005-01-25 14:21:42.000
050125AP_SE_05025_05049.bsp,CASSINI,2005-01-25 14:17:36.000,2005-02-18 06:58:57.000,2005-01-25 14:21:48.000
050125AP_SK_05025_05049.bsp,CASSINI,2005-01-25 14:17:36.000,2005-02-18 06:58:57.000,2005-01-25 14:21:44.000
050209AP_PE_05040_05049.bsp,CASSINI,2005-02-09 15:20:37.000,2005-02-18 06:58:57.000,2005-02-09 15:25:07.000
050209AP_SCPSE_05040_05049.bsp,CASSINI,2005-02-09 15:20:37.000,2005-02-18 06:58:57.000,2005-02-09 15:25:03.000
050209AP_SE_05040_05049.bsp,CASSINI,2005-02-09 15:20:37.000,2005-02-18 06:58:57.000,2005-02-09 15:25:07.000
050209AP_SK_05040_05049.bsp,CASSINI,2005-02-09 15:20:37.000,2005-02-18 06:58:57.000,2005-02-09 15:25:04.000
050214R_SCPSE_04336_05015.bsp,CASSINI,2004-11-23 23:58:56.000,2005-01-15 12:58:56.000,2005-02-28 09:15:50.000
050216AP_PE_05042_05071.bsp,CASSINI,2005-02-11 00:00:00.000,2005-03-12 09:09:05.000,2005-02-16 22:36:42.000
050216AP_SCPSE_05042_05071.bsp,CASSINI,2005-02-11 00:00:00.000,2005-03-12 09:09:05.000,2005-02-16 22:36:34.000
050216AP_SE_05042_05071.bsp,CASSINI,2005-02-11 00:00:00.000,2005-03-12 09:09:05.000,2005-02-16 22:36:42.000
050216AP_SK_05042_05071.bsp,CASSINI,2005-02-11 00:00:00.000,2005-03-12 09:09:05.000,2005-02-16 22:36:36.000
050228AP_PE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-02-28 15:34:23.000
050228AP_SCPSE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-02-28 15:34:20.000
050228AP_SE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-02-28 15:34:23.000
050228AP_SK_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-02-28 15:34:20.000
050304AP_PE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-03-04 12:23:18.000
050304AP_SCPSE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-03-04 12:23:15.000
050304AP_SE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-03-04 12:23:19.000
050304AP_SK_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-03-04 12:23:16.000
050304BP_SCPSE_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-03-04 12:23:17.000
050304BP_SK_05058_05074.bsp,CASSINI,2005-02-27 05:00:00.000,2005-03-15 03:00:00.000,2005-03-04 12:23:17.000
050310AP_PE_05065_05093.bsp,CASSINI,2005-03-06 00:00:00.000,2005-04-03 20:06:20.000,2005-03-10 15:47:56.000
050310AP_SCPSE_05065_05093.bsp,CASSINI,2005-03-06 00:00:00.000,2005-04-03 20:06:20.000,2005-03-10 15:47:48.000
050310AP_SE_05065_05093.bsp,CASSINI,2005-03-06 00:00:00.000,2005-04-03 20:06:20.000,2005-03-10 15:47:56.000
050310AP_SK_05065_05093.bsp,CASSINI,2005-03-06 00:00:00.000,2005-04-03 20:06:20.000,2005-03-10 15:47:50.000
050317AP_PE_05076_05093.bsp,CASSINI,2005-03-17 15:06:37.000,2005-04-03 20:06:20.000,2005-03-17 15:09:44.000
050317AP_SCPSE_05076_05093.bsp,CASSINI,2005-03-17 15:06:37.000,2005-04-03 20:06:20.000,2005-03-17 15:09:40.000
050317AP_SE_05076_05093.bsp,CASSINI,2005-03-17 15:06:37.000,2005-04-03 20:06:20.000,2005-03-17 15:09:44.000
050317AP_SK_05076_05093.bsp,CASSINI,2005-03-17 15:06:37.000,2005-04-02 23:58:56.000,2005-03-17 15:09:41.000
050325AP_PE_05084_05093.bsp,CASSINI,2005-03-25 10:48:14.000,2005-04-03 20:06:20.000,2005-03-25 10:50:37.000
050325AP_SE_05084_05093.bsp,CASSINI,2005-03-25 10:48:14.000,2005-04-03 20:06:20.000,2005-03-25 10:50:37.000
050325BP_SCPSE_05084_05093.bsp,CASSINI,2005-03-25 10:48:14.000,2005-04-03 20:06:20.000,2005-03-25 10:50:35.000
050325BP_SK_05084_05093.bsp,CASSINI,2005-03-25 10:48:14.000,2005-04-02 23:58:56.000,2005-03-25 10:50:36.000
050403AP_PE_05086_05112.bsp,CASSINI,2005-03-27 02:30:00.000,2005-04-22 00:30:00.000,2005-04-03 01:09:27.000
050403AP_SCPSE_05086_05112.bsp,CASSINI,2005-03-27 02:30:00.000,2005-04-22 00:30:00.000,2005-04-03 01:09:19.000
050403AP_SE_05086_05112.bsp,CASSINI,2005-03-27 02:30:00.000,2005-04-22 00:30:00.000,2005-04-03 01:09:27.000
050403AP_SK_05086_05112.bsp,CASSINI,2005-03-27 02:30:00.000,2005-04-22 00:30:00.000,2005-04-03 01:09:21.000
050407AP_RE_04002_09011.bsp,CASSINI-SUPER,2004-01-03 00:00:00.000,2009-01-12 00:00:00.000,2005-04-07 00:00:00.000
050408AP_PE_05097_05113.bsp,CASSINI,2005-04-07 05:00:00.000,2005-04-23 03:00:00.000,2005-04-08 14:43:42.000
050408AP_SCPSE_05097_05113.bsp,CASSINI,2005-04-07 05:00:00.000,2005-04-23 03:00:00.000,2005-04-08 14:43:37.000
050408AP_SE_05097_05113.bsp,CASSINI,2005-04-07 05:00:00.000,2005-04-23 03:00:00.000,2005-04-08 14:43:42.000
050408AP_SK_05097_05113.bsp,CASSINI,2005-04-07 05:00:00.000,2005-04-20 23:58:56.000,2005-04-08 14:43:38.000
050411R_SCPSE_05015_05034.bsp,CASSINI,2005-01-15 12:58:56.000,2005-02-03 11:58:56.000,2005-04-11 09:43:22.000
050412AP_PE_05102_05110.bsp,CASSINI,2005-04-12 15:17:04.000,2005-04-20 23:30:00.000,2005-04-12 15:20:39.000
050412AP_SCPSE_05102_05110.bsp,CASSINI,2005-04-12 15:17:04.000,2005-04-20 23:30:00.000,2005-04-12 15:20:35.000
050412AP_SE_05102_05110.bsp,CASSINI,2005-04-12 15:17:04.000,2005-04-20 23:30:00.000,2005-04-12 15:20:39.000
050412AP_SK_05102_05110.bsp,CASSINI,2005-04-12 15:17:04.000,2005-04-20 23:30:00.000,2005-04-12 15:20:36.000
050414RB_SCPSE_05034_05060.bsp,CASSINI,2005-02-03 11:58:56.000,2005-03-01 11:58:56.000,2006-03-31 13:57:02.000
050414R_SCPSE_05034_05060.bsp,CASSINI,2005-02-03 11:58:56.000,2005-03-01 11:58:56.000,2005-04-14 12:03:16.000
050419AP_PE_05103_05151.bsp,CASSINI,2005-04-13 00:00:00.000,2005-05-31 03:00:00.000,2005-04-19 03:14:01.000
050419AP_SCPSE_05103_05151.bsp,CASSINI,2005-04-13 00:00:00.000,2005-05-31 03:00:00.000,2005-04-19 03:13:52.000
050419AP_SE_05103_05151.bsp,CASSINI,2005-04-13 00:00:00.000,2005-05-31 03:00:00.000,2005-04-19 03:14:01.000
050419AP_SK_05103_05151.bsp,CASSINI,2005-04-13 00:00:00.000,2005-05-31 03:00:00.000,2005-04-19 03:13:54.000
050426AP_PE_05116_05216.bsp,CASSINI,2005-04-26 11:04:46.000,2005-08-04 00:00:00.000,2005-04-26 11:10:19.000
050426AP_SCPSE_05116_05216.bsp,CASSINI,2005-04-26 11:04:46.000,2005-08-04 00:00:00.000,2005-04-26 11:10:12.000
050426AP_SE_05116_05216.bsp,CASSINI,2005-04-26 11:04:46.000,2005-08-04 00:00:00.000,2005-04-26 11:10:19.000
