,Spacecraft,Start,Stop,Created
110830AP_PE_11242_11259.bsp,CASSINI,2011-08-30 10:01:55.000,2011-09-16 05:58:55.000,2011-08-30 10:07:10.000
110830AP_SE_11242_11259.bsp,CASSINI,2011-08-30 10:01:55.000,2011-09-16 05:58:55.000,2011-08-30 10:07:10.000
110830BP_SCPSE_11242_11259.bsp,CASSINI,2011-08-30 10:01:55.000,2011-09-16 05:58:55.000,2011-08-30 10:07:10.000
110830BP_SK_11242_11259.bsp,CASSINI,2011-08-30 10:01:55.000,2011-09-16 05:58:55.000,2011-08-30 10:07:10.000
110906AP_PE_11249_11259.bsp,CASSINI,2011-09-06 11:39:14.000,2011-09-16 05:58:55.000,2011-09-06 11:42:19.000
110906AP_SE_11249_11259.bsp,CASSINI,2011-09-06 11:39:14.000,2011-09-16 05:58:55.000,2011-09-06 11:42:19.000
110906BP_SCPSE_11249_11259.bsp,CASSINI,2011-09-06 11:39:14.000,2011-09-16 05:58:55.000,2011-09-06 11:42:18.000
110906BP_SK_11249_11259.bsp,CASSINI,2011-09-06 11:39:14.000,2011-09-16 05:58:55.000,2011-09-06 11:42:18.000
110913AP_PE_11254_11279.bsp,CASSINI,2011-09-11 02:50:06.000,2011-10-06 11:58:55.000,2011-09-13 11:06:35.000
110913AP_SE_11254_11279.bsp,CASSINI,2011-09-11 02:50:06.000,2011-10-06 11:58:55.000,2011-09-13 11:06:35.000
110913BP_SCPSE_11254_11279.bsp,CASSINI,2011-09-11 02:50:06.000,2011-10-06 11:58:55.000,2011-09-13 11:06:34.000
110913BP_SK_11254_11279.bsp,CASSINI,2011-09-11 02:50:06.000,2011-10-06 11:58:55.000,2011-09-13 11:06:34.000
110916R_SCPSE_05081_05097.bsp,CASSINI,2005-03-22 00:58:56.000,2005-04-07 06:58:56.000,2011-09-16 14:50:50.000
110916R_SCPSE_10164_10178.bsp,CASSINI,2010-06-13 19:58:55.000,2010-06-27 11:58:55.000,2011-09-16 14:51:12.000
110919AP_PE_11262_11279.bsp,CASSINI,2011-09-17 15:15:55.000,2011-10-06 11:58:55.000,2011-09-19 10:40:43.000
110919AP_SCPSE_11262_11279.bsp,CASSINI,2011-09-17 15:15:55.000,2011-10-06 11:58:55.000,2011-09-19 10:40:42.000
110919AP_SE_11262_11279.bsp,CASSINI,2011-09-17 15:15:55.000,2011-10-06 11:58:55.000,2011-09-19 10:40:43.000
110919AP_SK_11262_11279.bsp,CASSINI,2011-09-17 15:15:55.000,2011-10-06 11:58:55.000,2011-09-19 10:40:42.000
110927AP_PE_11270_11279.bsp,CASSINI,2011-09-26 01:00:55.000,2011-10-06 11:58:55.000,2011-09-27 10:08:52.000
110927AP_SCPSE_11270_11279.bsp,CASSINI,2011-09-26 01:00:55.000,2011-10-06 11:58:55.000,2011-09-27 10:08:51.000
110927AP_SE_11270_11279.bsp,CASSINI,2011-09-26 01:00:55.000,2011-10-06 11:58:55.000,2011-09-27 10:08:52.000
110927AP_SK_11270_11279.bsp,CASSINI,2011-09-26 01:00:55.000,2011-10-06 11:58:55.000,2011-09-27 10:08:51.000
111004AP_PE_11273_11296.bsp,CASSINI,2011-09-30 13:52:26.000,2011-10-23 11:58:55.000,2011-10-04 09:10:08.000
111004AP_SCPSE_11273_11296.bsp,CASSINI,2011-09-30 13:52:26.000,2011-10-23 11:58:55.000,2011-10-04 09:10:06.000
111004AP_SE_11273_11296.bsp,CASSINI,2011-09-30 13:52:26.000,2011-10-23 11:58:55.000,2011-10-04 09:10:08.000
111004AP_SK_11273_11296.bsp,CASSINI,2011-09-30 13:52:26.000,2011-10-23 11:58:55.000,2011-10-04 09:10:06.000
